obs_time_tcb,centroid_pos_al,centroid_pos_error_al,parallax_factor_al,scan_pos_angle,field_of_view
2458592.18552277,-95.68246726384862,0.04089588,-0.45450678,-0.72926316,1
2458642.42207229,-69.1747412490589,0.04393325,0.48151162,-0.86813157,1
2458642.49613851,-69.18777120441538,0.03950763,0.47952366,-0.86383243,2
2458668.92356753,-16.34140546845959,0.03888482,-0.62581122,0.88816273,1
2458718.62558206,45.46766538703746,0.04313693,-0.70501411,1.64678319,2
2458755.18801336,10.647940104519181,0.04216677,0.57817996,0.73838062,2
2458755.36414062,11.403858879343714,0.04183255,0.57296854,0.7482167399999999,1
2458755.43819238,11.76055123318284,0.04366153,0.57073814,0.75240271,2
2458779.39086743,88.24863677816937,0.03994273,-0.4319123,2.42188329,1
2458827.54312023,124.98775999594756,0.03956643,0.48796272,2.28056815,2
2458827.7192875,124.95350043565382,0.0397323,0.48309055,2.2912904,1
2458852.50204138,-29.132407520892425,0.03957758,-0.61576289,-2.23982863,1
2458852.57605221,-29.57756644637838,0.04172913,-0.61776072,-2.23602424,2
